Art Style
Early Dynastic
Old Kingdom
Middle Kingdom
New Kingdom
Amarna
3rd Intermediate Period
Late Period
Ptolemaic
2nd Intermediate Period
Archaic
Classical
Hellenistic
Geometric
Early Christian
Early Byzantine (c. 330–750)
Middle Byzantine (c. 850–1204)
Mozarabic
Komnenian style (1081-1185)
Latin Empire of Constantinople (1204-1261)
Late Byzantine/Palaeologan Renaissance (c. 1261–1453)
Byzantine
Macedonian Renaissance (867–1056)
Romanesque
Mosan art
Gothic
International Gothic
Viking art
Medieval Art
Crusader workshop
Moscow school of icon painting
Cretan school of icon painting
Macedonian school of icon painting
Coptic art
Novgorod school of icon painting
Kyiv school of icon painting
Vladimir school of icon painting
Galicia-Volyn school
Pskov school of icon painting
Yaroslavl school of icon painting
Vologda school of icon painting
Chernihiv school of icon painting
Proto Renaissance
Early Renaissance
High Renaissance
Mannerism (Late Renaissance)
Northern Renaissance
Renaissance
Baroque
Tenebrism
Rococo
Classicism
Neoclassicism
Academicism
Romanticism
Orientalism
Costumbrismo
Biedermeier
Neo-Rococo
Luminism
Realism
Stroganov school of icon painting
American Realism
Naturalism
Naïve Art (Primitivism)
Social Realism
Automatic Painting
Action painting
Surrealism
Post-Impressionism
Symbolism
Metaphysical art
Tonalism
Impressionism
Magic Realism
Fantastic Realism
Pointillism
Divisionism
Abstract Art
Neo-baroque
Japonism
Purism
Verism
Art Deco
Precisionism
Cloisonnism
Regionalism
Socialist Realism
Synthetism
Intimism
New Medievialism
Fauvism
Muralism
Art Nouveau (Modern)
Cartographic Art
Existential Art
Pictorialism
Expressionism
Lettrism
Kitsch
Mechanistic Cubism
Miserablism
Neo-Romanticism
Abstract Expressionism
Cubism
Analytical Cubism
Color Field Painting
Hard Edge Painting
Synthetic Cubism
Lyrical Abstraction
Orphism
Indian Space painting
Tubism
Cubo-Expressionism
Figurative Expressionism
Art Informel
Futurism
Cubo-Futurism
Tachisme
Neo-Concretism
Rayonism
Synchromism
Performance Art
Dada
Transautomatism
Suprematism
Sots Art
Neo-Byzantine
Post-Painterly Abstraction
Constructivism
Severe Style
Feminist Art
Spectralism
Fiber art
Modernismo
Mail Art
Neo-Suprematism
Analytical Realism
Outsider art
Art Brut
Neoplasticism
Concretism
Neo-Expressionism
Neo-Dada
Perceptism
Neo-Figurative Art
New Realism
Kinetic Art
Spatialism
Op Art
Pop Art
Nouveau Réalisme
Neo-Impressionism
Modernism
Conceptual Art
Minimalism
Post-Minimalism
Light and Space
Environmental (Land) Art
Junk Art
Cyber Art
Photorealism
Hyper-Realism
Poster Art Realism
Contemporary Realism
P&D (Pattern and Decoration)
Transavantgarde
Confessional Art
New European Painting
Neo-Pop Art
Neo-Geo
Maximalism
Neo-Orthodoxism
Graffiti Art
Street art
Lowbrow Art
Stuckism
New Casualism
Art Singulier
Superflat
Excessivism
Digital Art
Hyper-Mannerism (Anachronism)
Neo-Minimalism
Fantasy Art
Sky Art
Contemporary
Site-specific art
New media art
Classical Realism
Postcolonial art
Queer art
Gongbi
Ink and wash painting
Joseon Dynasty
Shin-hanga
Sōsaku hanga
Sumi-e (Suiboku-ga)
Ukiyo-e
Yamato-e
Kanō school style
Nanga (Bunjinga)
Nihonga
Zen
Ero guro
Abbasid Period
Ilkhanid
Nas-Taliq
Timurid Period
Mughal
Ottoman Period
Safavid Period
Native Art
Yoruba
Folk art
Post-classic (c.900-1580)
New Ink Painting
Documentary photography
Street Photography
